dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
got_gpt-5,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,1,0.7222222222222222,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,1,0.4166666666666667,0.75,0.75,0.75,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,2,0.7424242424242425,0.5714285714285714,1.0,0.7272727272727273,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.5833333333333334,0.75,0.75,0.75,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.5555555555555555,0.6,0.75,0.6666666666666665,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.5555555555555555,0.6,0.75,0.6666666666666665,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.5151515151515151,0.42857142857142855,0.75,0.5454545454545454,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,1,0.8888888888888888,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,2,0.4444444444444444,0.5,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,1,0.9629629629629629,0.8,1.0,0.888888888888889,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,1,0.4666666666666666,0.25,1.0,0.4,1.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",1,0.5151515151515151,0.42857142857142855,0.75,0.5454545454545454,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",2,0.5555555555555555,0.6,0.75,0.6666666666666665,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",1,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",2,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
got_gpt-5,"If battles and the people who fought in them are organized into three interconnected communities, ar...",1,0.22222222222222218,0.6,0.75,0.6666666666666665,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_190952.json,0.0
got_gpt-5,"If battles and the people who fought in them are organized into three interconnected communities, ar...",2,0.22222222222222218,0.6,0.75,0.6666666666666665,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-5/got_results_20251119_203406.json,0.0
