dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
ln_sonnet-4-20250514,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,1,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,4,8749,14,177,66187,0.26372379999999995,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.26372379999999995
ln_sonnet-4-20250514,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,2,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,4,9854,14,174,66188,0.2659306,results_sonnet-4-20250514/ln_results_20251118_165349.json,0.2659306
ln_sonnet-4-20250514,I want to know the number of articulation points. Reply strictly with 'points:answer',1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5950,12,79,15353,0.0846837,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.0846837
ln_sonnet-4-20250514,I want to know the number of articulation points. Reply strictly with 'points:answer',2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5786,12,79,15353,0.0846933,results_sonnet-4-20250514/ln_results_20251118_165349.json,0.0846933
ln_sonnet-4-20250514,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,8166,14,165,17805,0.0951813,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.0951813
ln_sonnet-4-20250514,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,2,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,8655,14,140,17816,0.09495089999999999,results_sonnet-4-20250514/ln_results_20251118_165349.json,0.09495089999999999
ln_sonnet-4-20250514,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,1,0.7666666666666666,0.6666666666666666,1.0,0.8,0.5,1.0,1.0,10,13341,28,299,2157,0.0645297,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.0645297
ln_sonnet-4-20250514,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,2,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,4,7281,14,121,18907,0.0985026,results_sonnet-4-20250514/ln_results_20251118_165349.json,0.0985026
ln_sonnet-4-20250514,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,1,0.8222222222222223,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,9,13753,28,359,2349,0.0664615,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.0664615
ln_sonnet-4-20250514,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,2,0.8222222222222223,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,10,14000,28,355,2399,0.0665576,results_sonnet-4-20250514/ln_results_20251118_165349.json,0.0665576
ln_sonnet-4-20250514,Call betweenness centrality and get the centrality scores for Westminster and Waterloo. Answer shoul...,1,0.7666666666666666,0.6666666666666666,1.0,0.8,0.5,1.0,1.0,10,13752,28,314,2224,0.06496769999999999,results_sonnet-4-20250514/ln_results_20251118_180129.json,0.06496769999999999
