dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
ln_sonnet-4-5-20250929,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,1,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,3,10072,14,132,66458,0.26407800000000003,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.26407800000000003
ln_sonnet-4-5-20250929,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,2,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,3,8602,14,134,66404,0.2641804,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.2641804
ln_sonnet-4-5-20250929,I want to know the number of articulation points. Reply strictly with 'points:answer',1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,6830,12,73,15689,0.0864204,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0864204
ln_sonnet-4-5-20250929,I want to know the number of articulation points. Reply strictly with 'points:answer',2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,7515,12,73,15689,0.0860196,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0860196
ln_sonnet-4-5-20250929,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,7634,14,124,18110,0.0957144,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0957144
ln_sonnet-4-5-20250929,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,2,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,9807,14,123,18105,0.09596760000000001,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.09596760000000001
ln_sonnet-4-5-20250929,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,1,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,4,7904,14,114,19238,0.10020769999999998,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.10020769999999998
ln_sonnet-4-5-20250929,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,2,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,4,7855,14,117,19253,0.0998889,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0998889
ln_sonnet-4-5-20250929,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,8475,14,166,2054,0.0359835,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0359835
ln_sonnet-4-5-20250929,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,2,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,7889,14,166,2054,0.0363403,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0363403
ln_sonnet-4-5-20250929,Call betweenness centrality and get the centrality scores for Westminster and Waterloo. Answer shoul...,1,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,4,7647,14,124,20098,0.1035818,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.1035818
ln_sonnet-4-5-20250929,Call betweenness centrality and get the centrality scores for Westminster and Waterloo. Answer shoul...,2,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,4,9146,14,124,20098,0.103137,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.103137
ln_sonnet-4-5-20250929,"Count how many triangles do stations named Hatton Cross, and Green Park participate in. Give final a...",1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,8114,14,129,1859,0.034831799999999996,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.034831799999999996
ln_sonnet-4-5-20250929,"Count how many triangles do stations named Hatton Cross, and Green Park participate in. Give final a...",2,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,4,8421,14,129,1859,0.0352022,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0352022
ln_sonnet-4-5-20250929,Could you execute the pagerank algorithm with Paddington station as source node and get score for Ro...,1,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,4,9338,14,126,22950,0.1142435,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.1142435
ln_sonnet-4-5-20250929,Could you execute the pagerank algorithm with Paddington station as source node and get score for Ro...,2,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,4,7822,14,126,22950,0.1138515,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.1138515
ln_sonnet-4-5-20250929,Could you run the bridges algorithm to find out the number of relationships that disconnect the grap...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7699,14,70,1580,0.0331164,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0331164
ln_sonnet-4-5-20250929,Could you run the bridges algorithm to find out the number of relationships that disconnect the grap...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,6826,14,96,1700,0.0341813,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0341813
ln_sonnet-4-5-20250929,I want to run eigenvector and get score for Canada water. Answer format should be Canada Water:answe...,1,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,3,8249,14,81,22715,0.1127968,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.1127968
ln_sonnet-4-5-20250929,I want to run eigenvector and get score for Canada water. Answer format should be Canada Water:answe...,2,0.38888888888888884,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,4,9130,14,107,22835,0.1132017,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.1132017
ln_sonnet-4-5-20250929,Find out how many weakly connected components algorithm exist in my graph. Reply only with wcc:answe...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,6824,14,56,8664,0.0595197,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0595197
ln_sonnet-4-5-20250929,Find out how many weakly connected components algorithm exist in my graph. Reply only with wcc:answe...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7412,14,56,8664,0.059839699999999996,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.059839699999999996
ln_sonnet-4-5-20250929,Find out how many strongly connected components exist in my graph. Reply only with scc:answer and no...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,9202,14,75,11179,0.0694499,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0694499
ln_sonnet-4-5-20250929,Find out how many strongly connected components exist in my graph. Reply only with scc:answer and no...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,8502,14,75,11179,0.0691299,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0691299
ln_sonnet-4-5-20250929,Execute k-core decomposition and obtain the core value for the Stockwell station. Reply strictly wit...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7746,14,78,15486,0.0853545,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0853545
ln_sonnet-4-5-20250929,Execute k-core decomposition and obtain the core value for the Stockwell station. Reply strictly wit...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7491,14,78,15486,0.08560809999999999,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.08560809999999999
ln_sonnet-4-5-20250929,I want to know the community modularity scores using community property rail. Reply only with commun...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,8388,14,82,1626,0.0337485,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0337485
ln_sonnet-4-5-20250929,I want to know the community modularity scores using community property rail. Reply only with commun...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,7528,14,106,1736,0.0340806,results_sonnet-4-5-20250929/ln_results_20251118_191746.json,0.0340806
ln_sonnet-4-5-20250929,I want to know the community conductance scores using community property rail. Reply only with commu...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,9855,14,80,1608,0.0333417,results_sonnet-4-5-20250929/ln_results_20251118_220730.json,0.0333417
