dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
got_sonnet-4-20250514,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,1,0.2692307692307692,0.18181818181818182,1.0,0.3076923076923077,0.5,0.0,0.0,66,132171,150,3357,119603,1.0118075999999998,results_sonnet-4-20250514/got_results_20251119_144359.json,1.0118075999999998
got_sonnet-4-20250514,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,2,0.3571428571428572,0.4,1.0,0.5714285714285715,0.5,0.0,0.0,30,69703,106,1433,90911,0.5328468,results_sonnet-4-20250514/got_results_20251119_142100.json,0.5328468
got_sonnet-4-20250514,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,1,0.2555555555555556,0.15384615384615385,1.0,0.2666666666666667,0.5,0.0,0.0,15,259744,66,698,4292,1.0068029,results_sonnet-4-20250514/got_results_20251119_144359.json,1.0068029
got_sonnet-4-20250514,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,2,0.3235294117647059,0.3076923076923077,1.0,0.47058823529411764,0.5,0.0,0.0,40,87152,130,2455,97595,0.6780909,results_sonnet-4-20250514/got_results_20251119_142100.json,0.6780909
got_sonnet-4-20250514,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,1,0.30701754385964913,0.26666666666666666,1.0,0.4210526315789474,0.5,0.0,0.0,38,64437,100,2045,24851,0.38026830000000006,results_sonnet-4-20250514/got_results_20251119_144359.json,0.38026830000000006
got_sonnet-4-20250514,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,2,0.1212121212121212,0.2222222222222222,1.0,0.3636363636363636,0.0,0.0,0.0,55,86234,112,2768,67448,0.6919476,results_sonnet-4-20250514/got_results_20251119_142100.json,0.6919476
got_sonnet-4-20250514,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.1904761904761905,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,7,14322,34,282,2418,0.0668591,results_sonnet-4-20250514/got_results_20251119_144359.json,0.0668591
got_sonnet-4-20250514,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.1904761904761905,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,9,15746,34,376,2740,0.0702661,results_sonnet-4-20250514/got_results_20251119_142100.json,0.0702661
got_sonnet-4-20250514,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.5238095238095238,0.6666666666666666,0.5,0.5714285714285715,0.0,1.0,1.0,7,15276,34,381,2489,0.0673131,results_sonnet-4-20250514/got_results_20251119_144359.json,0.0673131
got_sonnet-4-20250514,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.1818181818181818,0.42857142857142855,0.75,0.5454545454545454,0.0,0.0,0.0,15,31327,74,1221,5275,0.1432068,results_sonnet-4-20250514/got_results_20251119_142100.json,0.1432068
got_sonnet-4-20250514,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,1,0.10256410256410255,0.2222222222222222,0.5,0.30769230769230765,0.0,0.0,0.0,21,59003,84,1335,27593,0.2636259,results_sonnet-4-20250514/got_results_20251119_144359.json,0.2636259
got_sonnet-4-20250514,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,2,0.5384615384615384,0.4444444444444444,1.0,0.6153846153846153,1.0,0.0,0.0,26,65247,82,1284,7270,0.180754,results_sonnet-4-20250514/got_results_20251119_142100.json,0.180754
got_sonnet-4-20250514,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,1,0.26666666666666666,0.1875,0.75,0.3,0.5,0.0,0.0,46,172792,152,2746,63782,0.6404634000000001,results_sonnet-4-20250514/got_results_20251119_144359.json,0.6404634000000001
got_sonnet-4-20250514,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,2,0.13333333333333333,0.25,1.0,0.4,0.0,0.0,0.0,47,98621,164,2020,47318,0.4914847,results_sonnet-4-20250514/got_results_20251119_142100.json,0.4914847
got_sonnet-4-20250514,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,1,0.3235294117647059,0.3076923076923077,1.0,0.47058823529411764,0.5,0.0,0.0,39,153971,130,5324,86320,0.6966180999999998,results_sonnet-4-20250514/got_results_20251119_144359.json,0.6966180999999998
got_sonnet-4-20250514,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,2,0.44,0.19047619047619047,1.0,0.32,1.0,0.0,0.0,60,131268,130,4005,89665,0.8106760999999999,results_sonnet-4-20250514/got_results_20251119_142100.json,0.8106760999999999
got_sonnet-4-20250514,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,1,0.10526315789473685,0.2,0.75,0.31578947368421056,0.0,0.0,0.0,44,98723,134,3321,37551,0.4678928,results_sonnet-4-20250514/got_results_20251119_144359.json,0.4678928
