dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
ln_gpt-4o,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,1,0.21666666666666667,0.3333333333333333,0.5,0.4,0.25,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Execute personalised article rank with damping factor 0.8 on Paddington and I want to know the score...,2,0.4166666666666667,0.16666666666666666,0.5,0.25,0.5,0.5,0.5,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,I want to know the number of articulation points. Reply strictly with 'points:answer',1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,I want to know the number of articulation points. Reply strictly with 'points:answer',2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,1,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,2,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Call harmonic centrality and get the centrality scores for stations Westminster and Waterloo. Answer...,2,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,2,0.4444444444444444,1.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Call betweenness centrality and get the centrality scores for Westminster and Waterloo. Answer shoul...,1,0.5555555555555555,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Call betweenness centrality and get the centrality scores for Westminster and Waterloo. Answer shoul...,2,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,"Count how many triangles do stations named Hatton Cross, and Green Park participate in. Give final a...",1,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,"Count how many triangles do stations named Hatton Cross, and Green Park participate in. Give final a...",2,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Could you execute the pagerank algorithm with Paddington station as source node and get score for Ro...,1,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Could you execute the pagerank algorithm with Paddington station as source node and get score for Ro...,2,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Could you run the bridges algorithm to find out the number of relationships that disconnect the grap...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Could you run the bridges algorithm to find out the number of relationships that disconnect the grap...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,I want to run eigenvector and get score for Canada water. Answer format should be Canada Water:answe...,1,0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,I want to run eigenvector and get score for Canada water. Answer format should be Canada Water:answe...,2,0.43333333333333335,0.6666666666666666,1.0,0.8,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Find out how many weakly connected components algorithm exist in my graph. Reply only with wcc:answe...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Find out how many weakly connected components algorithm exist in my graph. Reply only with wcc:answe...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Find out how many strongly connected components exist in my graph. Reply only with scc:answer and no...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Find out how many strongly connected components exist in my graph. Reply only with scc:answer and no...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,Execute k-core decomposition and obtain the core value for the Stockwell station. Reply strictly wit...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,Execute k-core decomposition and obtain the core value for the Stockwell station. Reply strictly wit...,2,0.8888888888888888,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
ln_gpt-4o,I want to know the community modularity scores using community property rail. Reply only with commun...,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_103245.json,0.0
ln_gpt-4o,I want to know the community modularity scores using community property rail. Reply only with commun...,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/ln_results_20251119_100222.json,0.0
