dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
got_gpt-4o,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,1,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,2,0.26666666666666666,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,1,0.38888888888888884,0.6,0.75,0.6666666666666665,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,2,0.4523809523809524,1.0,0.75,0.8571428571428571,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,1,0.4090909090909091,0.5714285714285714,1.0,0.7272727272727273,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,1,0.6888888888888888,1.0,0.25,0.4,0.6666666666666666,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,2,0.7777777777777777,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,1,0.38888888888888884,0.6,0.75,0.6666666666666665,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,2,0.4166666666666667,0.75,0.75,0.75,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,1,0.38888888888888884,0.5,1.0,0.6666666666666666,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,2,0.14814814814814817,0.4,0.5,0.4444444444444445,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,1,0.4166666666666667,0.75,0.75,0.75,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,2,0.4090909090909091,0.5714285714285714,1.0,0.7272727272727273,0.5,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",1,0.1904761904761905,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",2,0.14814814814814817,0.4,0.5,0.4444444444444445,0.0,0.0,0.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",1,0.4285714285714286,0.3333333333333333,0.25,0.28571428571428575,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",2,0.5238095238095238,0.6666666666666666,0.5,0.5714285714285715,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
got_gpt-4o,"If battles and the people who fought in them are organized into three interconnected communities, ar...",1,0.4166666666666667,0.25,0.25,0.25,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_190312.json,0.0
got_gpt-4o,"If battles and the people who fought in them are organized into three interconnected communities, ar...",2,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0.0,results_gpt-4o/got_results_20251119_185905.json,0.0
