dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
got_haiku-4-5-20251001,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,1,0.041666666666666664,0.07142857142857142,0.5,0.125,0.0,0.0,0.0,35,104646,76,2526,35234,0.9186469999999998,results_haiku-4-5-20251001/got_results_20251119_183907.json,0.9186469999999998
got_haiku-4-5-20251001,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,1,0.6066666666666667,0.19047619047619047,1.0,0.32,0.5,1.0,1.0,12,118418,34,424,3966,0.6767736999999999,results_haiku-4-5-20251001/got_results_20251119_183907.json,0.6767736999999999
got_haiku-4-5-20251001,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,2,0.4901960784313726,0.3076923076923077,1.0,0.47058823529411764,1.0,0.0,0.0,15,70121,42,849,7313,0.3811431,results_haiku-4-5-20251001/got_results_20251119_181413.json,0.3811431
got_haiku-4-5-20251001,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,1,0.41414141414141414,0.13793103448275862,1.0,0.2424242424242424,0.5,0.5,0.5,21,143785,60,848,13976,0.8095752,results_haiku-4-5-20251001/got_results_20251119_183907.json,0.8095752
got_haiku-4-5-20251001,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,2,0.7826086956521738,0.21052631578947367,1.0,0.34782608695652173,1.0,1.0,1.0,12,82864,36,469,12727,0.4666538,results_haiku-4-5-20251001/got_results_20251119_181413.json,0.4666538
got_haiku-4-5-20251001,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.07407407407407408,0.2,0.25,0.22222222222222224,0.0,0.0,0.0,16,15938,48,764,12720,0.140231,results_haiku-4-5-20251001/got_results_20251119_183907.json,0.140231
got_haiku-4-5-20251001,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.06060606060606061,0.10344827586206896,0.75,0.18181818181818182,0.0,0.0,0.0,12,187712,34,448,4790,0.8554576,results_haiku-4-5-20251001/got_results_20251119_181413.json,0.8554576
got_haiku-4-5-20251001,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.19999999999999998,0.5,0.75,0.6,0.0,0.0,0.0,17,12535,48,668,5496,0.09731999999999999,results_haiku-4-5-20251001/got_results_20251119_183907.json,0.09731999999999999
got_haiku-4-5-20251001,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.15384615384615385,0.3333333333333333,0.75,0.46153846153846156,0.0,0.0,0.0,26,23951,78,1211,16627,0.18695369999999997,results_haiku-4-5-20251001/got_results_20251119_181413.json,0.18695369999999997
got_haiku-4-5-20251001,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,1,0.044444444444444446,0.07317073170731707,0.75,0.13333333333333333,0.0,0.0,0.0,26,222867,70,1763,89557,1.3939498,results_haiku-4-5-20251001/got_results_20251119_183907.json,1.3939498
got_haiku-4-5-20251001,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,2,0.1111111111111111,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,21,16123,50,929,55033,0.2883977,results_haiku-4-5-20251001/got_results_20251119_181413.json,0.2883977
