dataset,question,run_number,overall_score,tool_precision,tool_recall,tool_f1,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,source_file,cost_per_question
got_sonnet-4-5-20250929,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,1,0.1176470588235294,0.23076923076923078,0.75,0.3529411764705882,0.0,0.0,0.0,28,77266,130,2257,58009,0.43870389999999987,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.43870389999999987
got_sonnet-4-5-20250929,Which house has the most members? Return the name of the house and nothing else. Return all the top ...,2,0.16666666666666666,0.375,0.75,0.5,0.0,0.0,0.0,18,41976,70,1396,24858,0.237656,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.237656
got_sonnet-4-5-20250929,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,1,0.5151515151515151,0.42857142857142855,0.75,0.5454545454545454,0.0,1.0,1.0,16,33323,70,1208,9866,0.15994679999999997,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.15994679999999997
got_sonnet-4-5-20250929,Which house has the most Knights? Return the name of the house and nothing else. Return all the top ...,2,0.4666666666666666,0.2727272727272727,0.75,0.39999999999999997,0.0,1.0,1.0,24,52335,114,1794,13582,0.24231809999999998,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.24231809999999998
got_sonnet-4-5-20250929,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,1,0.041666666666666664,0.07142857142857142,0.5,0.125,0.0,0.0,0.0,61,173188,204,6225,48681,0.8388836,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.8388836
got_sonnet-4-5-20250929,Which house has the most Kings? Return the name of the house and nothing else. Return all the top ho...,2,0.125,0.25,0.75,0.375,0.0,0.0,0.0,26,50806,114,1855,12731,0.2390161,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.2390161
got_sonnet-4-5-20250929,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.4666666666666666,0.3333333333333333,0.5,0.4,0.0,1.0,1.0,14,35955,60,1381,10303,0.1505601,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.1505601
got_sonnet-4-5-20250929,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.1904761904761905,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,7,12456,26,226,3268,0.055847400000000005,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.055847400000000005
got_sonnet-4-5-20250929,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",1,0.5555555555555555,0.6,0.75,0.6666666666666665,0.0,1.0,1.0,13,15638,26,400,4890,0.0638196,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.0638196
got_sonnet-4-5-20250929,"I would like to put the Kings recorded in my database into groups, based on their involvement in all...",2,0.5833333333333334,0.75,0.75,0.75,0.0,1.0,1.0,9,13967,36,308,3704,0.07201679999999999,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.07201679999999999
got_sonnet-4-5-20250929,Split the battles and all the people involved into 3 separate groups with all battles and people inv...,1,0.4444444444444444,0.21428571428571427,0.75,0.3333333333333333,1.0,0.0,0.0,29,102263,134,2820,20718,0.3406086,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.3406086
got_sonnet-4-5-20250929,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,1,0.09523809523809525,0.2,0.5,0.28571428571428575,0.0,0.0,0.0,0,41531,84,1530,12474,0.18879320000000002,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.18879320000000002
got_sonnet-4-5-20250929,Which house can claim the most people as members? Return the name of the house and nothing else. Ret...,2,0.1818181818181818,0.42857142857142855,0.75,0.5454545454545454,0.0,0.0,0.0,0,35914,70,1167,18357,0.18956760000000003,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.18956760000000003
got_sonnet-4-5-20250929,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,1,0.4358974358974359,0.2222222222222222,0.5,0.30769230769230765,0.0,1.0,1.0,20,51529,92,1563,27677,0.2739817,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.2739817
got_sonnet-4-5-20250929,Which house is home to the highest count of knights? Return the name of the house and nothing else. ...,2,0.5151515151515151,0.42857142857142855,0.75,0.5454545454545454,0.0,1.0,1.0,18,40057,54,1167,8759,0.1306487,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.1306487
got_sonnet-4-5-20250929,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,1,0.13333333333333333,0.2727272727272727,0.75,0.39999999999999997,0.0,0.0,0.0,24,64487,112,2139,27397,0.3234521,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.3234521
got_sonnet-4-5-20250929,Which house has produced the greatest number of kings? Return the name of the house and nothing else...,2,0.19999999999999998,0.5,0.75,0.6,0.0,0.0,0.0,14,29645,54,977,7973,0.13234610000000002,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.13234610000000002
got_sonnet-4-5-20250929,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",1,0.05555555555555556,0.1,0.5,0.16666666666666669,0.0,0.0,0.0,8,163433,24,406,5422,0.7098858000000002,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.7098858000000002
got_sonnet-4-5-20250929,"If I cluster the kings in my database by their participation in battles, should Robb Stark and Tomme...",2,0.04301075268817204,0.07407407407407407,0.5,0.12903225806451613,0.0,0.0,0.0,56,149566,272,5174,47122,0.8000676,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.8000676
got_sonnet-4-5-20250929,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",1,0.1111111111111111,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,17,47172,80,1577,26525,0.24780279999999996,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.24780279999999996
got_sonnet-4-5-20250929,"When organizing kings according to their involvement in battles, would Tommen Baratheon and Balon Gr...",2,0.4666666666666666,0.3333333333333333,0.5,0.4,0.0,1.0,1.0,14,35336,56,1331,9975,0.14803200000000002,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.14803200000000002
got_sonnet-4-5-20250929,"If battles and the people who fought in them are organized into three interconnected communities, ar...",1,0.5238095238095238,0.4,1.0,0.5714285714285715,1.0,0.0,0.0,30,91628,102,1392,9136,0.19298929999999997,results_sonnet-4-5-20250929/got_results_20251119_173438.json,0.19298929999999997
got_sonnet-4-5-20250929,"If battles and the people who fought in them are organized into three interconnected communities, ar...",2,0.38095238095238093,0.08333333333333333,0.5,0.14285714285714285,0.0,1.0,1.0,14,181559,60,940,5780,0.5722500000000001,results_sonnet-4-5-20250929/got_results_20251119_175035.json,0.5722500000000001
